name,city,queries,plan
Nimra1,Karachi,290,free
Ali2,Hyderabad,26,free
Kainat3,Lahore,55,free
Usman4,Islamabad,246,trial
Zara5,Peshawar,20,free
Ahmed6,Sukkur,247,free
Zara7,Multan,57,trial
Tariq8,Karachi,207,free
Ayesha9,Lahore,241,pro
Zara10,Karachi,64,free
Ali11,Multan,9,free
Kainat12,Lahore,180,trial
Usman13,Peshawar,232,trial
Ayesha14,Peshawar,141,free
Nimra15,Rawalpindi,150,trial
Bilal16,Rawalpindi,82,free
Sara17,Lahore,272,trial
Kashif18,Peshawar,24,trial
Kainat19,Peshawar,130,trial
Sara20,Karachi,296,free
Ali21,Peshawar,218,free
Usman22,Multan,195,pro
Ayesha23,Hyderabad,257,trial
Hina24,Faisalabad,228,free
Salman25,Quetta,100,trial
Hina26,Sukkur,101,pro
Ayesha27,Peshawar,99,pro
Muhammad28,Hyderabad,73,pro
Zara29,Multan,173,pro
Sara30,Hyderabad,269,trial
Usman31,Karachi,124,pro
Ali32,Sukkur,180,free
Zara33,Hyderabad,246,free
Ahmed34,Hyderabad,292,pro
Nimra35,Lahore,13,pro
Zara36,Quetta,43,free
Ahmed37,Multan,208,trial
Salman38,Faisalabad,4,pro
Zara39,Peshawar,123,trial
Tariq40,Karachi,200,trial
Omar41,Peshawar,116,trial
Nimra42,Peshawar,240,free
Nimra43,Quetta,124,free
Ayesha44,Peshawar,271,free
Kashif45,Karachi,265,trial
Ali46,Lahore,139,free
Omar47,Lahore,59,pro
Usman48,Rawalpindi,52,trial
Ali49,Karachi,248,free
Nimra50,Hyderabad,211,free
Kashif51,Quetta,260,pro
Kainat52,Lahore,153,pro
Bilal53,Islamabad,63,trial
Sara54,Lahore,267,pro
Kainat55,Multan,293,free
Bilal56,Rawalpindi,195,trial
Ayesha57,Faisalabad,181,pro
Zara58,Rawalpindi,129,pro
Ayesha59,Faisalabad,219,pro
Ahmed60,Hyderabad,223,pro
Sara61,Faisalabad,79,free
Sara62,Quetta,299,free
Ahmed63,Islamabad,26,free
Salman64,Hyderabad,124,free
Omar65,Lahore,120,pro
Kainat66,Lahore,249,pro
Ahmed67,Lahore,272,free
Salman68,Sukkur,36,trial
Bilal69,Rawalpindi,229,pro
Omar70,Karachi,275,free
Hina71,Rawalpindi,117,pro
Tariq72,Multan,208,free
Ali73,Multan,202,trial
Kainat74,Lahore,157,pro
Usman75,Peshawar,110,free
Sara76,Multan,128,trial
Zara77,Rawalpindi,23,free
Omar78,Karachi,25,trial
Nimra79,Rawalpindi,263,free
Ali80,Sukkur,95,pro
Nimra81,Karachi,286,free
Sara82,Multan,25,free
Bilal83,Hyderabad,23,free
Usman84,Peshawar,260,free
Bilal85,Multan,9,free
Sara86,Faisalabad,62,trial
Zara87,Quetta,51,pro
Ayesha88,Islamabad,12,free
Ayesha89,Islamabad,4,pro
Omar90,Faisalabad,141,pro
Hina91,Rawalpindi,8,pro
Zara92,Hyderabad,215,free
Sara93,Peshawar,4,trial
Omar94,Sukkur,80,free
Kashif95,Karachi,74,free
Hina96,Islamabad,225,pro
Nimra97,Karachi,179,trial
Salman98,Hyderabad,265,pro
Ahmed99,Sukkur,265,pro
Bilal100,Rawalpindi,80,pro
